no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.592,6.926,0.0855
2,0.591,6.688,0.0884
3,0.591,6.152,0.0961
4,0.59,5.948,0.0992
5,0.59,5.82,0.1014
6,0.59,5.435,0.1086
7,0.589,5.343,0.1102
8,0.589,5.201,0.1132
9,0.589,5.181,0.1137
10,0.589,5.095,0.1156
11,0.589,5.076,0.116
12,0.588,5.001,0.1176
13,0.588,4.877,0.1206
14,0.588,4.859,0.121
15,0.587,4.825,0.1217
16,0.587,4.788,0.1226
17,0.587,4.761,0.1233
18,0.587,4.646,0.1263
19,0.587,4.593,0.1278
20,0.587,4.586,0.128
21,0.586,4.511,0.1299
22,0.586,4.498,0.1303
23,0.586,4.434,0.1322
24,0.585,4.35,0.1345
25,0.585,4.307,0.1358
26,0.585,4.245,0.1378
27,0.585,4.207,0.1391
28,0.584,4.195,0.1392
29,0.584,4.176,0.1398
30,0.584,4.134,0.1413
31,0.584,4.13,0.1414
32,0.584,4.116,0.1419
33,0.583,4.082,0.1428
34,0.583,4.077,0.143
35,0.583,4.056,0.1437
36,0.583,4.041,0.1443
37,0.583,4.028,0.1447
38,0.582,4.019,0.1448
39,0.582,3.976,0.1464
40,0.582,3.934,0.1479
41,0.582,3.93,0.1481
42,0.582,3.926,0.1482
43,0.582,3.921,0.1484
44,0.582,3.905,0.149
45,0.582,3.902,0.1492
46,0.582,3.897,0.1493
47,0.582,3.893,0.1495
48,0.582,3.889,0.1497
49,0.581,3.879,0.1498
50,0.581,3.871,0.1501
51,0.581,3.861,0.1505
52,0.581,3.844,0.1511
53,0.58,3.808,0.1523
54,0.58,3.804,0.1525
55,0.58,3.799,0.1527
56,0.579,3.791,0.1527
57,0.58,3.787,0.1532
58,0.579,3.772,0.1535
59,0.579,3.747,0.1545
60,0.579,3.734,0.1551
61,0.579,3.729,0.1553
62,0.579,3.704,0.1563
63,0.579,3.693,0.1568
64,0.579,3.677,0.1575
65,0.579,3.668,0.1579
66,0.579,3.664,0.158
67,0.579,3.659,0.1582
68,0.579,3.655,0.1584
69,0.579,3.651,0.1586
70,0.579,3.644,0.1589
71,0.578,3.64,0.1588
72,0.578,3.628,0.1593
73,0.578,3.624,0.1595
74,0.578,3.617,0.1598
75,0.578,3.612,0.16
76,0.578,3.6,0.1606
77,0.578,3.596,0.1607
78,0.578,3.592,0.1609
79,0.577,3.558,0.1622
80,0.577,3.554,0.1624
81,0.577,3.55,0.1625
82,0.576,3.541,0.1627
83,0.576,3.537,0.1628
84,0.576,3.533,0.163
85,0.576,3.528,0.1633
86,0.576,3.524,0.1635
87,0.576,3.508,0.1642
88,0.576,3.504,0.1644
89,0.575,3.48,0.1652
90,0.575,3.476,0.1654
91,0.576,3.471,0.1659
92,0.575,3.442,0.1671
93,0.575,3.437,0.1673
94,0.575,3.398,0.1692
95,0.575,3.394,0.1694
96,0.575,3.389,0.1697
97,0.575,3.374,0.1704
98,0.575,3.37,0.1706
99,0.575,3.365,0.1709
100,0.575,3.361,0.1711
101,0.575,3.357,0.1713
102,0.575,3.353,0.1715
103,0.575,3.349,0.1717
104,0.575,3.344,0.1719
105,0.575,3.34,0.1722
106,0.575,3.336,0.1724
107,0.575,3.331,0.1726
108,0.576,3.327,0.1731
109,0.575,3.323,0.173
110,0.575,3.3,0.1742
111,0.576,3.296,0.1748
112,0.576,3.292,0.175
113,0.576,3.288,0.1752
114,0.576,3.284,0.1754
115,0.576,3.28,0.1756
116,0.576,3.275,0.1759
117,0.576,3.271,0.1761
118,0.576,3.267,0.1763
119,0.576,3.263,0.1765
120,0.576,3.258,0.1768
121,0.576,3.254,0.177
122,0.576,3.246,0.1774
123,0.576,3.242,0.1777
124,0.576,3.237,0.1779
125,0.576,3.233,0.1782
126,0.576,3.229,0.1784
127,0.576,3.224,0.1787
128,0.576,3.216,0.1791
129,0.576,3.211,0.1794
130,0.577,3.207,0.1799
131,0.577,3.203,0.1801
132,0.577,3.194,0.1807
133,0.577,3.19,0.1809
134,0.577,3.186,0.1811
135,0.577,3.182,0.1813
136,0.577,3.178,0.1816
137,0.577,3.173,0.1818
138,0.577,3.169,0.1821
139,0.577,3.164,0.1824
140,0.577,3.16,0.1826
141,0.577,3.156,0.1828
142,0.577,3.151,0.1831
143,0.577,3.147,0.1833
144,0.577,3.143,0.1836
145,0.577,3.138,0.1839
146,0.577,3.134,0.1841
147,0.577,3.13,0.1843
148,0.577,3.125,0.1846
149,0.577,3.104,0.1859
150,0.577,3.099,0.1862
151,0.578,3.095,0.1868
152,0.577,3.09,0.1867
153,0.577,3.086,0.187
154,0.578,3.082,0.1875
155,0.578,3.077,0.1878
156,0.577,3.073,0.1878
157,0.577,3.068,0.1881
158,0.577,3.064,0.1883
159,0.577,3.06,0.1886
160,0.577,3.055,0.1889
161,0.577,3.05,0.1892
162,0.578,3.046,0.1898
163,0.578,3.042,0.19
164,0.578,3.023,0.1912
165,0.578,3.019,0.1915
166,0.578,3.015,0.1917
167,0.578,3.01,0.192
168,0.578,3.006,0.1923
169,0.578,3.001,0.1926
170,0.578,2.997,0.1929
171,0.578,2.993,0.1931
172,0.578,2.989,0.1934
173,0.579,2.984,0.194
174,0.58,2.98,0.1946
175,0.58,2.975,0.195
176,0.58,2.971,0.1952
177,0.58,2.967,0.1955
178,0.581,2.958,0.1964
179,0.58,2.949,0.1967
180,0.58,2.94,0.1973
181,0.581,2.936,0.1979
182,0.581,2.932,0.1982
183,0.581,2.927,0.1985
184,0.581,2.923,0.1988
185,0.582,2.919,0.1994
186,0.582,2.914,0.1997
187,0.582,2.909,0.2001
188,0.582,2.905,0.2003
189,0.582,2.9,0.2007
190,0.582,2.896,0.201
191,0.582,2.892,0.2012
192,0.582,2.887,0.2016
193,0.582,2.883,0.2019
194,0.583,2.879,0.2025
195,0.583,2.874,0.2029
196,0.583,2.87,0.2031
197,0.583,2.866,0.2034
198,0.583,2.861,0.2038
199,0.584,2.857,0.2044
200,0.584,2.852,0.2048
201,0.584,2.848,0.2051
