no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.592,6.788,0.0872
2,0.592,6.397,0.0925
3,0.591,6.31,0.0937
4,0.591,6.286,0.094
5,0.59,6.26,0.0942
6,0.59,6.197,0.0952
7,0.589,6.114,0.0963
8,0.589,5.971,0.0986
9,0.588,5.961,0.0986
10,0.588,5.87,0.1002
11,0.587,5.856,0.1002
12,0.587,5.812,0.101
13,0.587,5.78,0.1016
14,0.586,5.757,0.1018
15,0.586,5.697,0.1029
16,0.585,5.616,0.1042
17,0.585,5.533,0.1057
18,0.585,5.486,0.1066
19,0.584,5.42,0.1077
20,0.584,5.385,0.1084
21,0.583,5.341,0.1092
22,0.583,5.326,0.1095
23,0.582,5.293,0.11
24,0.582,5.266,0.1105
25,0.581,5.256,0.1105
26,0.581,5.134,0.1132
27,0.581,5.112,0.1137
28,0.58,5.051,0.1148
29,0.58,5.039,0.1151
30,0.579,5.014,0.1155
31,0.579,4.963,0.1167
32,0.578,4.948,0.1168
33,0.578,4.933,0.1172
34,0.577,4.92,0.1173
35,0.577,4.89,0.118
36,0.576,4.876,0.1181
37,0.576,4.863,0.1184
38,0.576,4.849,0.1188
39,0.575,4.827,0.1191
40,0.575,4.818,0.1193
41,0.575,4.815,0.1194
42,0.574,4.795,0.1197
43,0.573,4.774,0.12
44,0.573,4.733,0.1211
45,0.572,4.718,0.1212
46,0.572,4.707,0.1215
47,0.571,4.694,0.1216
48,0.571,4.679,0.122
49,0.571,4.677,0.1221
50,0.57,4.656,0.1224
51,0.569,4.612,0.1234
52,0.568,4.599,0.1235
53,0.568,4.595,0.1236
54,0.567,4.587,0.1236
55,0.567,4.58,0.1238
56,0.566,4.538,0.1247
57,0.566,4.533,0.1249
58,0.565,4.528,0.1248
59,0.565,4.506,0.1254
60,0.565,4.504,0.1254
61,0.564,4.501,0.1253
62,0.564,4.491,0.1256
63,0.563,4.443,0.1267
64,0.563,4.431,0.1271
65,0.563,4.397,0.128
66,0.562,4.382,0.1283
67,0.561,4.376,0.1282
68,0.561,4.35,0.129
69,0.56,4.333,0.1292
