no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.593,6.956,0.0853
2,0.592,6.623,0.0894
3,0.592,6.294,0.0941
4,0.59,6.063,0.0973
5,0.59,5.875,0.1004
6,0.589,5.805,0.1015
7,0.589,5.729,0.1028
8,0.588,5.583,0.1053
9,0.588,5.535,0.1062
10,0.587,5.515,0.1064
11,0.587,5.414,0.1084
12,0.586,5.346,0.1096
13,0.586,5.218,0.1123
14,0.585,5.202,0.1125
15,0.585,5.15,0.1136
16,0.585,5.142,0.1138
17,0.584,5.034,0.116
18,0.584,5.019,0.1164
19,0.583,5.002,0.1166
20,0.582,4.977,0.1169
21,0.582,4.946,0.1177
22,0.581,4.905,0.1185
23,0.581,4.866,0.1194
24,0.58,4.851,0.1196
25,0.58,4.834,0.12
26,0.579,4.82,0.1201
27,0.579,4.804,0.1205
28,0.578,4.8,0.1204
29,0.578,4.791,0.1206
30,0.577,4.758,0.1213
31,0.577,4.755,0.1213
32,0.577,4.746,0.1216
33,0.577,4.744,0.1216
34,0.577,4.723,0.1222
35,0.576,4.698,0.1226
36,0.576,4.685,0.1229
37,0.575,4.637,0.124
38,0.575,4.602,0.1249
39,0.574,4.562,0.1258
40,0.572,4.557,0.1255
41,0.572,4.541,0.126
42,0.571,4.536,0.1259
43,0.571,4.503,0.1268
44,0.57,4.483,0.1271
45,0.57,4.475,0.1274
46,0.569,4.462,0.1275
47,0.569,4.452,0.1278
48,0.568,4.435,0.1281
49,0.568,4.418,0.1286
50,0.568,4.405,0.1289
51,0.567,4.391,0.1291
52,0.566,4.385,0.1291
53,0.566,4.377,0.1293
54,0.565,4.366,0.1294
55,0.565,4.356,0.1297
56,0.564,4.333,0.1302
57,0.564,4.324,0.1304
58,0.563,4.281,0.1315
59,0.563,4.27,0.1319
60,0.562,4.265,0.1318
61,0.562,4.259,0.132
62,0.562,4.256,0.132
63,0.561,4.242,0.1322
64,0.561,4.21,0.1333
65,0.56,4.187,0.1337
66,0.56,4.177,0.1341
67,0.559,4.166,0.1342
68,0.559,4.151,0.1347
69,0.558,4.147,0.1346
70,0.558,4.138,0.1348
71,0.557,4.116,0.1353
72,0.557,4.095,0.136
73,0.556,4.088,0.136
74,0.556,4.086,0.1361
75,0.556,4.084,0.1361
76,0.556,4.075,0.1364
77,0.555,4.065,0.1365
78,0.555,4.054,0.1369
79,0.554,4.045,0.137
80,0.554,4.026,0.1376
81,0.554,4.017,0.1379
82,0.553,4.013,0.1378
83,0.553,4.004,0.1381
84,0.552,3.994,0.1382
85,0.552,3.983,0.1386
86,0.552,3.976,0.1388
87,0.551,3.97,0.1388
88,0.551,3.963,0.139
89,0.55,3.955,0.1391
90,0.549,3.946,0.1391
91,0.548,3.945,0.1389
92,0.548,3.933,0.1393
93,0.548,3.931,0.1394
94,0.547,3.924,0.1394
95,0.547,3.913,0.1398
96,0.547,3.912,0.1398
97,0.546,3.912,0.1396
98,0.546,3.893,0.1403
99,0.545,3.888,0.1402
100,0.545,3.885,0.1403
101,0.545,3.872,0.1408
102,0.544,3.86,0.1409
103,0.544,3.856,0.1411
104,0.543,3.852,0.141
105,0.543,3.85,0.141
106,0.542,3.844,0.141
107,0.542,3.829,0.1416
108,0.542,3.825,0.1417
109,0.541,3.817,0.1417
110,0.541,3.813,0.1419
111,0.54,3.811,0.1417
112,0.54,3.809,0.1418
113,0.54,3.804,0.142
114,0.539,3.799,0.1419
115,0.538,3.798,0.1417
116,0.537,3.795,0.1415
117,0.537,3.794,0.1415
118,0.537,3.791,0.1417
119,0.536,3.78,0.1418
120,0.535,3.775,0.1417
121,0.535,3.774,0.1418
122,0.534,3.765,0.1418
123,0.534,3.761,0.142
124,0.534,3.76,0.142
125,0.533,3.756,0.1419
126,0.533,3.745,0.1423
127,0.532,3.741,0.1422
128,0.532,3.735,0.1424
129,0.531,3.726,0.1425
130,0.531,3.724,0.1426
131,0.531,3.724,0.1426
132,0.531,3.72,0.1427
133,0.53,3.711,0.1428
134,0.53,3.704,0.1431
135,0.529,3.699,0.143
136,0.529,3.692,0.1433
137,0.529,3.685,0.1436
138,0.528,3.682,0.1434
139,0.528,3.673,0.1438
140,0.527,3.668,0.1437
141,0.527,3.665,0.1438
142,0.526,3.664,0.1436
143,0.526,3.663,0.1436
144,0.526,3.659,0.1438
145,0.525,3.653,0.1437
146,0.525,3.65,0.1438
147,0.524,3.646,0.1437
148,0.524,3.643,0.1438
149,0.524,3.63,0.1444
150,0.523,3.627,0.1442
151,0.522,3.624,0.144
152,0.522,3.623,0.1441
153,0.521,3.617,0.144
154,0.521,3.613,0.1442
155,0.52,3.605,0.1442
156,0.52,3.604,0.1443
157,0.52,3.601,0.1444
158,0.519,3.597,0.1443
159,0.519,3.593,0.1444
160,0.518,3.591,0.1442
161,0.518,3.587,0.1444
162,0.517,3.582,0.1443
163,0.517,3.577,0.1445
164,0.516,3.57,0.1445
165,0.516,3.565,0.1447
166,0.515,3.562,0.1446
167,0.515,3.556,0.1448
168,0.515,3.553,0.1449
169,0.514,3.548,0.1449
170,0.513,3.546,0.1447
171,0.513,3.538,0.145
172,0.513,3.535,0.1451
173,0.512,3.529,0.1451
174,0.512,3.526,0.1452
175,0.512,3.523,0.1453
176,0.511,3.521,0.1451
177,0.511,3.516,0.1453
178,0.51,3.511,0.1453
179,0.51,3.509,0.1453
180,0.509,3.505,0.1452
181,0.509,3.502,0.1453
182,0.508,3.496,0.1453
183,0.508,3.494,0.1454
184,0.507,3.491,0.1452
185,0.507,3.486,0.1454
186,0.506,3.484,0.1452
187,0.505,3.481,0.1451
188,0.505,3.479,0.1452
189,0.505,3.477,0.1452
190,0.504,3.474,0.1451
191,0.504,3.468,0.1453
192,0.503,3.463,0.1452
193,0.503,3.459,0.1454
194,0.502,3.452,0.1454
195,0.502,3.45,0.1455
196,0.502,3.445,0.1457
197,0.502,3.445,0.1457
198,0.501,3.44,0.1456
199,0.501,3.438,0.1457
200,0.5,3.436,0.1455
201,0.5,3.432,0.1457
