no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.593,6.492,0.0913
2,0.593,6.492,0.0913
3,0.593,6.492,0.0913
4,0.593,6.492,0.0913
5,0.593,6.492,0.0913
6,0.593,6.492,0.0913
7,0.593,6.492,0.0913
8,0.592,6.412,0.0923
9,0.592,6.412,0.0923
10,0.592,6.319,0.0937
11,0.591,6.313,0.0936
12,0.59,6.203,0.0951
13,0.589,6.153,0.0957
14,0.589,6.153,0.0957
15,0.588,6.072,0.0968
16,0.588,6.072,0.0968
17,0.588,6.072,0.0968
18,0.588,6.072,0.0968
19,0.588,6.072,0.0968
20,0.588,6.043,0.0973
21,0.588,6.043,0.0973
22,0.587,6.027,0.0974
23,0.587,6.027,0.0974
24,0.587,6.027,0.0974
25,0.587,6.027,0.0974
26,0.587,6.027,0.0974
27,0.585,5.949,0.0983
28,0.585,5.949,0.0983
29,0.585,5.949,0.0983
30,0.585,5.708,0.1025
31,0.585,5.708,0.1025
32,0.585,5.708,0.1025
33,0.585,5.708,0.1025
34,0.585,5.708,0.1025
35,0.585,5.708,0.1025
36,0.585,5.543,0.1055
37,0.585,5.543,0.1055
38,0.585,5.543,0.1055
39,0.585,5.543,0.1055
40,0.585,5.543,0.1055
41,0.585,5.543,0.1055
42,0.584,5.502,0.1061
43,0.584,5.502,0.1061
44,0.584,5.502,0.1061
45,0.584,5.502,0.1061
46,0.584,5.502,0.1061
47,0.584,5.449,0.1072
48,0.584,5.449,0.1072
49,0.584,5.449,0.1072
50,0.584,5.449,0.1072
51,0.584,5.449,0.1072
52,0.584,5.449,0.1072
53,0.584,5.449,0.1072
54,0.583,5.447,0.107
55,0.583,5.447,0.107
56,0.583,5.447,0.107
57,0.583,5.447,0.107
58,0.583,5.447,0.107
59,0.583,5.447,0.107
60,0.583,5.447,0.107
61,0.583,5.447,0.107
62,0.583,5.447,0.107
63,0.583,5.447,0.107
64,0.583,5.447,0.107
65,0.583,5.447,0.107
66,0.583,5.447,0.107
67,0.583,5.447,0.107
68,0.583,5.447,0.107
69,0.583,5.447,0.107
70,0.583,5.447,0.107
71,0.583,5.447,0.107
72,0.583,5.447,0.107
73,0.583,5.447,0.107
74,0.583,5.447,0.107
75,0.583,5.447,0.107
76,0.583,5.447,0.107
77,0.583,5.447,0.107
78,0.583,5.447,0.107
79,0.583,5.447,0.107
80,0.583,5.447,0.107
81,0.583,5.447,0.107
82,0.583,5.447,0.107
83,0.583,5.447,0.107
84,0.583,5.447,0.107
85,0.583,5.447,0.107
86,0.583,5.447,0.107
87,0.583,5.447,0.107
88,0.583,5.447,0.107
89,0.583,5.447,0.107
90,0.583,5.447,0.107
91,0.583,5.447,0.107
92,0.583,5.447,0.107
93,0.583,5.447,0.107
94,0.583,5.447,0.107
95,0.583,5.447,0.107
96,0.583,5.447,0.107
97,0.583,5.447,0.107
98,0.583,5.447,0.107
99,0.583,5.447,0.107
100,0.583,5.447,0.107
101,0.583,5.447,0.107
102,0.583,5.447,0.107
103,0.583,5.447,0.107
104,0.583,5.447,0.107
105,0.583,5.447,0.107
106,0.583,5.447,0.107
107,0.583,5.447,0.107
108,0.583,5.447,0.107
109,0.583,5.447,0.107
110,0.583,5.447,0.107
111,0.583,5.447,0.107
112,0.583,5.447,0.107
113,0.583,5.447,0.107
114,0.583,5.447,0.107
115,0.583,5.447,0.107
116,0.583,5.447,0.107
117,0.583,5.447,0.107
118,0.583,5.447,0.107
119,0.583,5.447,0.107
120,0.583,5.447,0.107
121,0.583,5.447,0.107
122,0.583,5.447,0.107
123,0.583,5.447,0.107
124,0.583,5.447,0.107
125,0.583,5.447,0.107
126,0.583,5.447,0.107
127,0.583,5.447,0.107
128,0.583,5.447,0.107
129,0.583,5.447,0.107
130,0.583,5.447,0.107
131,0.583,5.447,0.107
132,0.583,5.447,0.107
133,0.583,5.447,0.107
134,0.583,5.447,0.107
135,0.583,5.447,0.107
136,0.583,5.447,0.107
137,0.583,5.447,0.107
138,0.583,5.447,0.107
139,0.583,5.447,0.107
140,0.583,5.447,0.107
141,0.583,5.447,0.107
142,0.583,5.447,0.107
143,0.583,5.447,0.107
144,0.583,5.447,0.107
145,0.583,5.447,0.107
146,0.583,5.447,0.107
147,0.583,5.447,0.107
148,0.583,5.447,0.107
149,0.583,5.447,0.107
150,0.583,5.447,0.107
151,0.583,5.447,0.107
152,0.583,5.447,0.107
153,0.583,5.447,0.107
154,0.583,5.447,0.107
155,0.583,5.447,0.107
156,0.583,5.447,0.107
157,0.583,5.447,0.107
