no.    acc    apl
0    0.593    6.96
1    0.592    6.888
2    0.592    6.888
3    0.592    6.888
4    0.592    6.888
5    0.592    6.888
6    0.592    6.888
7    0.592    6.888
8    0.592    6.888
9    0.592    6.888
10    0.592    6.888
11    0.592    6.888
12    0.592    6.888
13    0.592    6.888
14    0.592    6.888
15    0.592    6.888
16    0.592    6.888
17    0.592    6.888
18    0.592    6.888
19    0.592    6.888
20    0.592    6.888
21    0.592    6.888
22    0.592    6.888
23    0.592    6.888
24    0.592    6.888
25    0.592    6.888
26    0.592    6.888
27    0.592    6.888
28    0.592    6.888
29    0.592    6.888
30    0.592    6.888
31    0.592    6.888
32    0.592    6.888
33    0.592    6.888
34    0.592    6.888
35    0.592    6.888
36    0.592    6.888
37    0.592    6.888
38    0.592    6.888
39    0.592    6.888
40    0.592    6.888
41    0.592    6.888
42    0.592    6.888
43    0.592    6.888
44    0.592    6.888
45    0.592    6.888
46    0.592    6.888
47    0.592    6.888
48    0.592    6.888
49    0.592    6.888
50    0.592    6.888
51    0.592    6.888
52    0.592    6.888
53    0.592    6.888
54    0.592    6.888
55    0.592    6.888
56    0.592    6.888
57    0.592    6.888
58    0.592    6.888
59    0.592    6.888
60    0.592    6.888
61    0.592    6.888
62    0.592    6.888
63    0.592    6.888
64    0.592    6.888
65    0.592    6.888
66    0.592    6.888
67    0.592    6.888
68    0.592    6.888
69    0.592    6.888
70    0.592    6.888
71    0.592    6.888
72    0.592    6.888
73    0.592    6.888
74    0.592    6.888
75    0.592    6.888
76    0.592    6.888
77    0.592    6.888
78    0.592    6.888
79    0.592    6.888
80    0.592    6.888
81    0.592    6.888
82    0.592    6.888
83    0.592    6.888
84    0.592    6.888
85    0.592    6.888
86    0.592    6.888
87    0.592    6.888
88    0.592    6.888
89    0.592    6.888
90    0.592    6.888
91    0.592    6.888
92    0.592    6.888
93    0.592    6.888
94    0.592    6.888
95    0.592    6.888
96    0.592    6.888
97    0.592    6.888
98    0.592    6.888
99    0.592    6.888
100    0.592    6.888
101    0.592    6.888
102    0.592    6.888
103    0.592    6.888
104    0.592    6.888
105    0.592    6.888
106    0.592    6.888
107    0.592    6.888
108    0.592    6.888
109    0.592    6.888
110    0.592    6.888
111    0.592    6.888
112    0.592    6.888
113    0.592    6.888
114    0.592    6.888
115    0.592    6.888
116    0.592    6.888
117    0.592    6.888
118    0.592    6.888
119    0.592    6.888
120    0.592    6.888
121    0.592    6.888
122    0.592    6.888
123    0.592    6.888
124    0.592    6.888
125    0.592    6.888
126    0.592    6.888
127    0.592    6.888
128    0.592    6.888
129    0.592    6.888
130    0.592    6.888
131    0.592    6.888
132    0.592    6.888
133    0.592    6.888
134    0.592    6.888
135    0.592    6.888
136    0.592    6.888
137    0.592    6.888
138    0.592    6.888
139    0.592    6.888
140    0.592    6.888
141    0.592    6.888
142    0.592    6.888
143    0.592    6.888
144    0.592    6.888
145    0.592    6.888
146    0.592    6.888
147    0.592    6.888
148    0.592    6.888
149    0.592    6.888
150    0.592    6.888
151    0.592    6.888
152    0.592    6.888
153    0.592    6.888
154    0.592    6.888
155    0.592    6.888
156    0.592    6.888
157    0.592    6.888
158    0.592    6.888
159    0.592    6.888
160    0.592    6.888
161    0.592    6.888
162    0.592    6.888
163    0.592    6.888
164    0.592    6.888
165    0.592    6.888
166    0.592    6.888
167    0.592    6.888
168    0.592    6.888
169    0.592    6.888
170    0.592    6.888
171    0.592    6.888
172    0.592    6.888
173    0.592    6.888
174    0.592    6.888
175    0.592    6.888
176    0.592    6.888
177    0.592    6.888
178    0.592    6.888
179    0.592    6.888
180    0.592    6.888
181    0.592    6.888
182    0.592    6.888
183    0.592    6.888
184    0.592    6.888
185    0.592    6.888
186    0.592    6.888
187    0.592    6.888
188    0.592    6.888
189    0.592    6.888
190    0.592    6.888
191    0.592    6.888
192    0.592    6.888
193    0.592    6.888
194    0.592    6.888
195    0.592    6.888
196    0.592    6.888
197    0.592    6.888
198    0.592    6.888
199    0.592    6.888
200    0.592    6.888
