no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.592,6.76,0.0876
2,0.591,6.75,0.0876
3,0.591,6.579,0.0898
4,0.59,6.564,0.0899
5,0.59,6.258,0.0943
6,0.59,5.779,0.1021
7,0.589,5.688,0.1036
8,0.589,5.432,0.1084
9,0.589,5.432,0.1084
10,0.589,5.23,0.1126
11,0.588,5.082,0.1157
12,0.588,5.013,0.1173
13,0.588,4.968,0.1184
14,0.588,4.936,0.1191
15,0.588,4.909,0.1198
16,0.587,4.856,0.1209
17,0.587,4.798,0.1223
18,0.587,4.768,0.1231
19,0.586,4.731,0.1239
20,0.586,4.727,0.124
21,0.586,4.68,0.1252
22,0.586,4.676,0.1253
23,0.586,4.664,0.1256
24,0.585,4.565,0.1281
25,0.585,4.55,0.1286
26,0.585,4.525,0.1293
27,0.585,4.495,0.1301
28,0.585,4.382,0.1335
29,0.584,4.348,0.1343
30,0.584,4.332,0.1348
31,0.584,4.291,0.1361
32,0.584,4.262,0.137
33,0.584,4.223,0.1383
34,0.584,4.223,0.1383
35,0.583,4.203,0.1387
36,0.583,4.18,0.1395
37,0.583,4.176,0.1396
38,0.583,4.173,0.1397
39,0.583,4.173,0.1397
40,0.583,4.135,0.141
41,0.583,4.115,0.1417
42,0.582,4.075,0.1428
43,0.582,4.057,0.1435
44,0.582,4.035,0.1442
45,0.582,4.023,0.1447
46,0.582,4.012,0.1451
47,0.582,4.008,0.1452
48,0.582,3.99,0.1459
49,0.582,3.977,0.1463
50,0.581,3.934,0.1477
51,0.581,3.913,0.1485
52,0.581,3.902,0.1489
53,0.581,3.898,0.1491
54,0.581,3.894,0.1492
55,0.58,3.886,0.1493
56,0.58,3.873,0.1498
57,0.58,3.869,0.1499
58,0.58,3.861,0.1502
59,0.58,3.85,0.1506
60,0.58,3.832,0.1514
61,0.58,3.828,0.1515
62,0.58,3.824,0.1517
63,0.579,3.806,0.1521
64,0.579,3.806,0.1521
65,0.579,3.802,0.1523
66,0.579,3.802,0.1523
67,0.579,3.79,0.1528
68,0.579,3.738,0.1549
69,0.579,3.733,0.1551
70,0.579,3.729,0.1553
71,0.579,3.673,0.1576
72,0.578,3.669,0.1575
73,0.578,3.669,0.1575
74,0.578,3.669,0.1575
75,0.578,3.665,0.1577
76,0.578,3.66,0.1579
77,0.578,3.614,0.1599
78,0.578,3.587,0.1611
79,0.578,3.579,0.1615
80,0.578,3.571,0.1619
81,0.577,3.557,0.1622
82,0.577,3.557,0.1622
83,0.577,3.54,0.163
84,0.577,3.525,0.1637
85,0.576,3.521,0.1636
86,0.576,3.516,0.1638
87,0.576,3.516,0.1638
88,0.576,3.512,0.164
89,0.576,3.508,0.1642
90,0.576,3.504,0.1644
91,0.575,3.462,0.1661
92,0.575,3.462,0.1661
93,0.575,3.458,0.1663
94,0.575,3.454,0.1665
95,0.575,3.454,0.1665
96,0.575,3.45,0.1667
97,0.575,3.439,0.1672
98,0.575,3.434,0.1674
99,0.575,3.43,0.1676
100,0.575,3.426,0.1678
101,0.575,3.395,0.1694
102,0.575,3.391,0.1696
103,0.575,3.391,0.1696
104,0.575,3.391,0.1696
105,0.575,3.386,0.1698
106,0.574,3.382,0.1697
107,0.574,3.378,0.1699
108,0.574,3.374,0.1701
109,0.574,3.357,0.171
110,0.574,3.353,0.1712
111,0.574,3.353,0.1712
112,0.574,3.348,0.1714
113,0.574,3.344,0.1717
114,0.574,3.34,0.1719
115,0.574,3.335,0.1721
116,0.574,3.331,0.1723
117,0.574,3.327,0.1725
118,0.574,3.327,0.1725
119,0.573,3.322,0.1725
120,0.573,3.318,0.1727
121,0.573,3.309,0.1732
122,0.573,3.304,0.1734
123,0.573,3.3,0.1736
124,0.573,3.296,0.1738
125,0.573,3.287,0.1743
126,0.573,3.283,0.1745
127,0.573,3.279,0.1747
128,0.573,3.274,0.175
129,0.573,3.27,0.1752
130,0.573,3.27,0.1752
131,0.573,3.266,0.1754
132,0.573,3.261,0.1757
133,0.573,3.261,0.1757
134,0.573,3.261,0.1757
135,0.573,3.252,0.1762
136,0.573,3.252,0.1762
137,0.573,3.252,0.1762
138,0.573,3.252,0.1762
139,0.573,3.248,0.1764
140,0.573,3.243,0.1767
141,0.573,3.243,0.1767
142,0.573,3.243,0.1767
143,0.573,3.218,0.1781
144,0.573,3.218,0.1781
145,0.573,3.218,0.1781
146,0.573,3.218,0.1781
147,0.573,3.214,0.1783
148,0.573,3.214,0.1783
149,0.573,3.214,0.1783
150,0.573,3.21,0.1785
151,0.573,3.206,0.1787
152,0.573,3.201,0.179
153,0.573,3.197,0.1792
154,0.573,3.193,0.1795
155,0.573,3.193,0.1795
156,0.573,3.188,0.1797
157,0.574,3.184,0.1803
158,0.574,3.184,0.1803
159,0.574,3.18,0.1805
160,0.574,3.175,0.1808
161,0.574,3.171,0.181
162,0.574,3.166,0.1813
163,0.574,3.162,0.1815
164,0.574,3.158,0.1818
165,0.575,3.153,0.1824
166,0.575,3.153,0.1824
167,0.575,3.149,0.1826
168,0.575,3.145,0.1828
169,0.574,3.14,0.1828
170,0.575,3.136,0.1834
171,0.575,3.132,0.1836
172,0.575,3.127,0.1839
173,0.575,3.127,0.1839
174,0.575,3.127,0.1839
175,0.575,3.118,0.1844
176,0.575,3.114,0.1846
177,0.575,3.11,0.1849
178,0.575,3.11,0.1849
179,0.575,3.11,0.1849
180,0.575,3.105,0.1852
181,0.575,3.105,0.1852
182,0.575,3.101,0.1854
183,0.575,3.097,0.1857
184,0.575,3.097,0.1857
185,0.575,3.092,0.186
186,0.576,3.088,0.1865
187,0.576,3.088,0.1865
188,0.576,3.088,0.1865
189,0.576,3.088,0.1865
190,0.576,3.088,0.1865
191,0.576,3.088,0.1865
192,0.576,3.088,0.1865
193,0.576,3.088,0.1865
194,0.576,3.083,0.1868
195,0.576,3.083,0.1868
196,0.576,3.083,0.1868
197,0.576,3.083,0.1868
198,0.576,3.079,0.1871
199,0.576,3.075,0.1873
200,0.576,3.07,0.1876
201,0.576,3.066,0.1879
202,0.576,3.048,0.189
203,0.576,3.044,0.1892
204,0.577,3.04,0.1898
205,0.577,3.035,0.1901
206,0.577,3.031,0.1904
207,0.577,3.031,0.1904
208,0.577,3.027,0.1906
209,0.577,3.022,0.1909
210,0.577,3.018,0.1912
211,0.577,3.013,0.1915
212,0.577,3.013,0.1915
213,0.577,3.009,0.1918
214,0.577,3.005,0.192
215,0.577,3.0,0.1923
216,0.577,2.996,0.1926
217,0.578,2.992,0.1932
218,0.578,2.992,0.1932
219,0.578,2.992,0.1932
220,0.578,2.987,0.1935
221,0.578,2.987,0.1935
222,0.578,2.983,0.1938
223,0.578,2.979,0.194
224,0.578,2.975,0.1943
225,0.578,2.97,0.1946
226,0.578,2.966,0.1949
227,0.578,2.962,0.1951
228,0.578,2.962,0.1951
229,0.579,2.957,0.1958
230,0.579,2.953,0.1961
231,0.579,2.953,0.1961
232,0.579,2.948,0.1964
233,0.579,2.944,0.1967
234,0.579,2.939,0.197
235,0.579,2.935,0.1973
236,0.579,2.93,0.1976
237,0.579,2.93,0.1976
238,0.579,2.93,0.1976
239,0.579,2.926,0.1979
240,0.579,2.926,0.1979
241,0.579,2.926,0.1979
242,0.579,2.922,0.1982
243,0.58,2.917,0.1988
244,0.58,2.917,0.1988
245,0.58,2.913,0.1991
246,0.58,2.913,0.1991
247,0.58,2.908,0.1994
248,0.58,2.908,0.1994
249,0.58,2.908,0.1994
250,0.58,2.903,0.1998
251,0.58,2.903,0.1998
252,0.58,2.903,0.1998
253,0.58,2.903,0.1998
254,0.58,2.899,0.2001
255,0.58,2.899,0.2001
256,0.58,2.899,0.2001
257,0.58,2.899,0.2001
258,0.58,2.895,0.2003
259,0.58,2.89,0.2007
260,0.58,2.89,0.2007
261,0.58,2.886,0.201
262,0.58,2.886,0.201
263,0.581,2.882,0.2016
264,0.581,2.882,0.2016
265,0.58,2.877,0.2016
266,0.581,2.872,0.2023
267,0.581,2.872,0.2023
268,0.581,2.868,0.2026
269,0.581,2.868,0.2026
270,0.581,2.868,0.2026
271,0.581,2.868,0.2026
272,0.581,2.868,0.2026
273,0.581,2.868,0.2026
274,0.581,2.868,0.2026
275,0.581,2.868,0.2026
276,0.581,2.868,0.2026
277,0.581,2.868,0.2026
278,0.581,2.868,0.2026
279,0.581,2.864,0.2029
280,0.581,2.86,0.2031
281,0.581,2.855,0.2035
282,0.581,2.851,0.2038
