no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.593,6.688,0.0887
2,0.592,6.253,0.0947
3,0.592,5.951,0.0995
4,0.591,5.898,0.1002
5,0.591,5.879,0.1005
6,0.59,5.707,0.1034
7,0.59,5.575,0.1058
8,0.589,5.451,0.1081
9,0.589,5.417,0.1087
10,0.588,5.402,0.1088
11,0.588,5.398,0.1089
12,0.587,5.324,0.1103
13,0.587,5.323,0.1103
14,0.587,5.312,0.1105
15,0.586,5.252,0.1116
16,0.586,5.149,0.1138
17,0.585,5.035,0.1162
18,0.585,4.992,0.1172
19,0.584,4.97,0.1175
20,0.584,4.891,0.1194
21,0.584,4.885,0.1195
22,0.583,4.883,0.1194
23,0.583,4.866,0.1198
24,0.582,4.833,0.1204
25,0.582,4.833,0.1204
26,0.581,4.817,0.1206
27,0.581,4.807,0.1209
28,0.58,4.766,0.1217
29,0.58,4.744,0.1223
30,0.579,4.711,0.1229
31,0.579,4.676,0.1238
32,0.578,4.643,0.1245
33,0.577,4.639,0.1244
34,0.577,4.63,0.1246
35,0.577,4.611,0.1251
36,0.576,4.584,0.1257
37,0.576,4.568,0.1261
38,0.575,4.533,0.1268
39,0.575,4.517,0.1273
40,0.574,4.497,0.1276
41,0.574,4.465,0.1286
42,0.574,4.464,0.1286
43,0.573,4.448,0.1288
44,0.572,4.435,0.129
45,0.572,4.435,0.129
46,0.572,4.428,0.1292
47,0.571,4.416,0.1293
48,0.571,4.405,0.1296
49,0.57,4.382,0.1301
50,0.57,4.361,0.1307
51,0.569,4.338,0.1312
52,0.568,4.331,0.1311
53,0.567,4.313,0.1315
54,0.567,4.288,0.1322
55,0.566,4.27,0.1326
56,0.566,4.266,0.1327
57,0.565,4.253,0.1328
58,0.565,4.236,0.1334
59,0.564,4.225,0.1335
60,0.564,4.21,0.134
61,0.564,4.198,0.1343
62,0.563,4.187,0.1345
63,0.562,4.171,0.1347
64,0.562,4.166,0.1349
65,0.562,4.15,0.1354
66,0.561,4.14,0.1355
67,0.56,4.132,0.1355
68,0.56,4.128,0.1357
69,0.559,4.12,0.1357
70,0.559,4.091,0.1366
71,0.559,4.09,0.1367
72,0.559,4.081,0.137
73,0.559,4.06,0.1377
74,0.558,4.057,0.1375
75,0.557,4.05,0.1375
76,0.557,4.041,0.1378
77,0.556,4.028,0.138
78,0.556,4.021,0.1383
79,0.555,4.014,0.1383
80,0.555,4.0,0.1388
81,0.555,4.0,0.1388
82,0.554,3.992,0.1388
83,0.554,3.983,0.1391
84,0.553,3.977,0.139
85,0.553,3.97,0.1393
86,0.553,3.969,0.1393
87,0.552,3.964,0.1393
88,0.552,3.956,0.1395
89,0.551,3.947,0.1396
90,0.551,3.937,0.14
91,0.55,3.935,0.1398
92,0.55,3.931,0.1399
93,0.55,3.911,0.1406
94,0.549,3.907,0.1405
95,0.549,3.896,0.1409
96,0.549,3.89,0.1411
97,0.548,3.883,0.1411
98,0.548,3.871,0.1416
99,0.547,3.86,0.1417
100,0.546,3.853,0.1417
101,0.546,3.85,0.1418
102,0.546,3.838,0.1423
103,0.545,3.834,0.1421
104,0.544,3.824,0.1423
105,0.544,3.813,0.1427
106,0.543,3.804,0.1427
107,0.543,3.793,0.1432
108,0.542,3.791,0.143
109,0.542,3.783,0.1433
110,0.541,3.774,0.1433
111,0.541,3.772,0.1434
112,0.54,3.751,0.144
113,0.539,3.744,0.144
114,0.539,3.74,0.1441
115,0.539,3.732,0.1444
116,0.538,3.73,0.1442
117,0.538,3.728,0.1443
118,0.538,3.717,0.1447
119,0.537,3.707,0.1449
120,0.537,3.7,0.1451
121,0.536,3.695,0.1451
122,0.536,3.689,0.1453
123,0.536,3.689,0.1453
124,0.536,3.686,0.1454
125,0.535,3.683,0.1453
126,0.535,3.675,0.1456
127,0.534,3.672,0.1454
128,0.534,3.67,0.1455
129,0.533,3.667,0.1454
130,0.533,3.661,0.1456
131,0.532,3.66,0.1454
132,0.532,3.656,0.1455
133,0.531,3.654,0.1453
134,0.531,3.65,0.1455
135,0.53,3.642,0.1455
136,0.529,3.638,0.1454
137,0.529,3.635,0.1455
138,0.528,3.631,0.1454
139,0.528,3.628,0.1455
140,0.528,3.625,0.1457
141,0.526,3.622,0.1452
142,0.526,3.616,0.1455
143,0.525,3.613,0.1453
144,0.525,3.61,0.1454
145,0.525,3.605,0.1456
146,0.524,3.6,0.1456
147,0.524,3.595,0.1458
148,0.524,3.59,0.146
149,0.523,3.589,0.1457
150,0.523,3.583,0.146
151,0.523,3.581,0.146
152,0.522,3.576,0.146
153,0.522,3.575,0.146
154,0.521,3.571,0.1459
155,0.521,3.57,0.1459
156,0.52,3.565,0.1459
157,0.52,3.562,0.146
158,0.519,3.561,0.1457
159,0.518,3.557,0.1456
160,0.518,3.554,0.1458
161,0.518,3.55,0.1459
162,0.517,3.546,0.1458
163,0.517,3.541,0.146
164,0.517,3.541,0.146
165,0.516,3.538,0.1458
166,0.516,3.532,0.1461
167,0.516,3.527,0.1463
168,0.515,3.525,0.1461
169,0.515,3.525,0.1461
170,0.515,3.521,0.1463
171,0.515,3.519,0.1463
172,0.514,3.513,0.1463
173,0.514,3.509,0.1465
