no.    acc    apl
0    0.593    6.96
1    0.593    6.583
2    0.592    6.44
3    0.592    6.297
4    0.591    6.27
5    0.591    6.126
6    0.59    5.956
7    0.59    5.661
8    0.589    5.59
9    0.588    5.555
10    0.588    5.538
11    0.588    5.468
12    0.587    5.397
13    0.587    5.266
14    0.586    5.261
15    0.586    5.26
16    0.585    5.171
17    0.584    5.165
18    0.584    5.14
19    0.583    5.1
20    0.583    5.09
21    0.583    4.979
22    0.582    4.975
23    0.582    4.953
24    0.58    4.929
25    0.58    4.872
26    0.579    4.833
27    0.579    4.819
28    0.579    4.81
29    0.578    4.804
30    0.578    4.767
31    0.577    4.753
32    0.577    4.75
33    0.576    4.74
34    0.576    4.74
35    0.575    4.719
36    0.575    4.676
37    0.575    4.632
38    0.574    4.573
39    0.573    4.559
40    0.572    4.541
41    0.572    4.526
42    0.571    4.492
43    0.571    4.485
44    0.57    4.464
45    0.57    4.432
46    0.57    4.426
47    0.569    4.416
48    0.569    4.373
49    0.568    4.355
50    0.568    4.333
51    0.567    4.309
52    0.567    4.284
53    0.566    4.265
54    0.566    4.26
55    0.565    4.248
56    0.564    4.217
57    0.564    4.198
58    0.563    4.192
59    0.562    4.182
60    0.562    4.171
61    0.561    4.162
62    0.56    4.159
63    0.56    4.152
64    0.559    4.129
65    0.559    4.112
66    0.558    4.098
67    0.558    4.079
68    0.557    4.075
69    0.556    4.061
70    0.556    4.052
71    0.555    4.048
72    0.555    4.039
73    0.554    4.028
74    0.554    4.025
75    0.554    4.02
76    0.553    4.014
77    0.553    4.009
78    0.553    3.998
79    0.552    3.997
80    0.552    3.993
81    0.551    3.987
82    0.551    3.982
83    0.55    3.98
84    0.549    3.974
85    0.549    3.956
86    0.549    3.956
87    0.549    3.951
88    0.548    3.947
89    0.548    3.938
90    0.547    3.936
91    0.547    3.929
92    0.546    3.92
93    0.546    3.912
94    0.546    3.902
95    0.545    3.894
96    0.545    3.889
97    0.544    3.881
98    0.544    3.878
99    0.544    3.871
100    0.543    3.863
101    0.543    3.862
102    0.542    3.856
103    0.542    3.852
104    0.541    3.85
105    0.541    3.842
106    0.54    3.836
107    0.54    3.834
108    0.54    3.833
109    0.54    3.826
110    0.539    3.823
111    0.539    3.819
112    0.538    3.816
113    0.538    3.811
114    0.537    3.807
115    0.537    3.795
116    0.536    3.785
117    0.536    3.775
118    0.535    3.766
119    0.535    3.765
120    0.535    3.761
121    0.534    3.755
122    0.534    3.752
123    0.533    3.746
124    0.533    3.746
125    0.533    3.739
126    0.533    3.735
127    0.532    3.734
128    0.532    3.732
129    0.532    3.73
130    0.531    3.724
131    0.531    3.72
132    0.531    3.716
133    0.53    3.706
134    0.53    3.703
135    0.53    3.701
136    0.529    3.696
137    0.529    3.689
138    0.529    3.683
139    0.528    3.675
140    0.528    3.67
141    0.527    3.663
142    0.527    3.659
143    0.526    3.654
144    0.526    3.65
145    0.525    3.647
146    0.525    3.645
147    0.525    3.635
148    0.524    3.632
149    0.524    3.627
150    0.523    3.626
151    0.522    3.62
152    0.522    3.617
153    0.522    3.61
154    0.521    3.608
155    0.521    3.604
156    0.521    3.603
157    0.521    3.594
158    0.521    3.593
159    0.52    3.59
160    0.52    3.584
161    0.52    3.583
162    0.519    3.575
163    0.519    3.571
164    0.519    3.567
165    0.518    3.563
166    0.518    3.559
167    0.517    3.555
168    0.517    3.551
169    0.517    3.55
170    0.516    3.548
171    0.516    3.545
172    0.516    3.542
173    0.515    3.54
174    0.515    3.533
175    0.514    3.531
176    0.514    3.527
177    0.514    3.527
178    0.513    3.524
179    0.513    3.521
180    0.513    3.521
181    0.513    3.518
182    0.512    3.513
183    0.512    3.507
184    0.512    3.502
185    0.511    3.5
186    0.511    3.497
187    0.511    3.493
188    0.51    3.492
189    0.51    3.491
190    0.509    3.485
191    0.509    3.48
192    0.508    3.475
193    0.508    3.475
194    0.508    3.47
195    0.508    3.47
196    0.507    3.467
197    0.507    3.465
198    0.506    3.46
199    0.506    3.457
200    0.506    3.455
