no.,acc,apl
0,0.593,6.96
1,0.593,6.577
2,0.593,6.577
3,0.593,6.577
4,0.593,6.577
5,0.592,6.551
6,0.592,6.515
7,0.592,6.515
8,0.591,6.505
9,0.591,6.505
10,0.591,6.505
11,0.591,6.505
12,0.591,6.505
13,0.591,6.505
14,0.591,6.505
15,0.591,6.505
16,0.591,6.505
17,0.591,6.505
18,0.591,6.453
19,0.591,6.453
20,0.591,6.453
21,0.591,6.453
22,0.591,6.453
23,0.59,6.394
24,0.59,6.394
25,0.59,6.394
26,0.59,6.394
27,0.59,6.312
28,0.59,6.312
29,0.59,6.312
30,0.589,6.188
31,0.589,6.169
32,0.589,6.169
33,0.589,6.169
34,0.589,6.169
35,0.589,6.169
36,0.589,6.169
37,0.589,6.169
38,0.589,6.169
39,0.589,6.169
40,0.589,6.169
41,0.589,6.169
42,0.588,5.942
43,0.588,5.942
44,0.588,5.942
45,0.588,5.942
46,0.588,5.942
47,0.588,5.942
48,0.588,5.682
49,0.588,5.682
50,0.588,5.429
51,0.587,5.316
52,0.587,5.316
53,0.586,5.197
54,0.586,5.197
55,0.586,5.197
56,0.586,5.164
57,0.585,5.129
58,0.585,5.064
59,0.585,5.064
60,0.585,5.064
61,0.585,4.976
62,0.584,4.971
63,0.584,4.919
64,0.583,4.903
65,0.583,4.903
66,0.583,4.895
67,0.583,4.895
68,0.583,4.883
69,0.582,4.876
70,0.582,4.812
71,0.581,4.801
72,0.581,4.769
73,0.58,4.737
74,0.58,4.707
75,0.58,4.707
76,0.579,4.686
77,0.579,4.686
78,0.578,4.667
79,0.577,4.634
80,0.577,4.611
81,0.577,4.611
82,0.577,4.611
83,0.577,4.592
84,0.577,4.592
85,0.577,4.592
86,0.576,4.546
87,0.576,4.529
88,0.576,4.529
89,0.576,4.529
90,0.576,4.529
91,0.575,4.49
92,0.575,4.469
93,0.574,4.453
94,0.574,4.453
95,0.574,4.422
96,0.574,4.392
97,0.573,4.374
98,0.573,4.346
99,0.573,4.346
100,0.573,4.309
101,0.573,4.309
102,0.572,4.296
103,0.572,4.296
104,0.572,4.285
105,0.571,4.269
106,0.571,4.269
107,0.571,4.255
108,0.57,4.241
109,0.57,4.238
110,0.569,4.227
111,0.569,4.227
112,0.569,4.227
113,0.569,4.227
114,0.569,4.215
115,0.568,4.209
116,0.568,4.206
117,0.567,4.194
118,0.567,4.177
119,0.567,4.177
120,0.566,4.163
121,0.566,4.152
122,0.565,4.142
123,0.565,4.126
124,0.565,4.126
125,0.564,4.119
126,0.564,4.119
127,0.564,4.119
128,0.564,4.118
129,0.563,4.102
130,0.563,4.1
131,0.562,4.083
132,0.562,4.081
133,0.562,4.081
134,0.561,4.075
135,0.561,4.065
136,0.56,4.06
137,0.559,4.044
138,0.559,4.027
139,0.559,4.023
140,0.558,4.018
141,0.557,4.01
142,0.557,4.001
143,0.557,3.999
144,0.556,3.988
145,0.556,3.974
146,0.555,3.968
147,0.555,3.96
148,0.554,3.949
149,0.554,3.945
150,0.553,3.943
151,0.553,3.943
152,0.552,3.94
153,0.551,3.937
154,0.551,3.92
155,0.551,3.917
156,0.55,3.912
157,0.549,3.907
158,0.549,3.89
159,0.548,3.885
160,0.548,3.883
161,0.548,3.87
162,0.547,3.865
163,0.547,3.862
164,0.546,3.854
165,0.546,3.853
166,0.546,3.85
167,0.545,3.835
168,0.545,3.823
169,0.545,3.823
170,0.545,3.823
171,0.545,3.816
172,0.545,3.816
173,0.544,3.806
174,0.544,3.798
175,0.544,3.795
176,0.543,3.791
177,0.543,3.786
178,0.542,3.781
179,0.542,3.779
180,0.541,3.772
181,0.541,3.765
182,0.541,3.761
183,0.54,3.752
184,0.54,3.751
185,0.539,3.746
186,0.539,3.731
187,0.539,3.721
188,0.539,3.72
189,0.538,3.715
190,0.538,3.711
191,0.538,3.711
192,0.538,3.704
193,0.537,3.698
194,0.537,3.693
195,0.536,3.687
196,0.536,3.679
197,0.536,3.672
198,0.535,3.666
199,0.535,3.657
200,0.535,3.65
