no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.592,6.92,0.0855
2,0.591,6.567,0.09
3,0.59,6.352,0.0929
4,0.59,6.253,0.0944
5,0.59,6.219,0.0949
6,0.589,6.187,0.0952
7,0.589,5.934,0.0993
8,0.589,5.898,0.0999
9,0.589,5.719,0.103
10,0.588,5.655,0.104
11,0.588,5.21,0.1129
12,0.588,5.064,0.1161
13,0.588,5.019,0.1172
14,0.587,4.971,0.1181
15,0.587,4.868,0.1206
16,0.587,4.697,0.125
17,0.586,4.683,0.1251
18,0.586,4.659,0.1258
19,0.586,4.652,0.126
20,0.586,4.56,0.1285
21,0.585,4.516,0.1295
22,0.585,4.483,0.1305
23,0.585,4.47,0.1309
24,0.585,4.432,0.132
25,0.584,4.425,0.132
26,0.584,4.361,0.1339
27,0.584,4.289,0.1362
28,0.584,4.226,0.1382
29,0.583,4.172,0.1397
30,0.583,4.16,0.1401
31,0.583,4.133,0.1411
32,0.583,4.119,0.1415
33,0.583,4.111,0.1418
34,0.583,4.067,0.1433
35,0.582,4.063,0.1432
36,0.582,4.063,0.1432
37,0.582,4.063,0.1432
38,0.582,4.053,0.1436
39,0.582,4.012,0.1451
40,0.582,4.001,0.1455
41,0.582,3.997,0.1456
42,0.582,3.989,0.1459
43,0.582,3.973,0.1465
44,0.581,3.946,0.1472
45,0.581,3.936,0.1476
46,0.581,3.932,0.1478
47,0.581,3.905,0.1488
48,0.581,3.901,0.1489
49,0.581,3.873,0.15
50,0.58,3.859,0.1503
51,0.58,3.859,0.1503
52,0.58,3.836,0.1512
53,0.58,3.825,0.1516
54,0.58,3.821,0.1518
55,0.579,3.813,0.1518
56,0.579,3.809,0.152
57,0.579,3.801,0.1523
58,0.579,3.786,0.1529
59,0.579,3.781,0.1531
60,0.579,3.777,0.1533
61,0.579,3.765,0.1538
62,0.579,3.73,0.1552
63,0.578,3.725,0.1552
64,0.578,3.714,0.1556
65,0.578,3.703,0.1561
66,0.578,3.694,0.1565
67,0.578,3.686,0.1568
68,0.578,3.682,0.157
69,0.578,3.678,0.1572
70,0.579,3.645,0.1588
71,0.579,3.645,0.1588
72,0.579,3.638,0.1592
73,0.578,3.6,0.1606
74,0.578,3.6,0.1606
75,0.578,3.593,0.1609
76,0.577,3.569,0.1617
77,0.577,3.561,0.162
78,0.577,3.557,0.1622
79,0.577,3.55,0.1625
80,0.577,3.545,0.1628
81,0.577,3.541,0.1629
82,0.576,3.532,0.1631
83,0.576,3.52,0.1636
84,0.576,3.498,0.1647
85,0.576,3.483,0.1654
86,0.576,3.478,0.1656
87,0.576,3.478,0.1656
88,0.575,3.462,0.1661
89,0.575,3.462,0.1661
90,0.575,3.462,0.1661
91,0.575,3.462,0.1661
92,0.575,3.436,0.1673
93,0.575,3.421,0.1681
94,0.575,3.404,0.1689
95,0.575,3.399,0.1692
96,0.575,3.391,0.1696
97,0.575,3.387,0.1698
98,0.575,3.383,0.17
99,0.575,3.383,0.17
100,0.574,3.375,0.1701
101,0.574,3.375,0.1701
102,0.574,3.37,0.1703
103,0.574,3.37,0.1703
104,0.574,3.362,0.1707
105,0.574,3.362,0.1707
106,0.574,3.357,0.171
107,0.574,3.353,0.1712
108,0.574,3.349,0.1714
109,0.574,3.345,0.1716
110,0.574,3.322,0.1728
111,0.574,3.318,0.173
112,0.574,3.314,0.1732
113,0.574,3.314,0.1732
114,0.574,3.314,0.1732
115,0.574,3.309,0.1735
116,0.574,3.305,0.1737
117,0.574,3.305,0.1737
118,0.573,3.297,0.1738
119,0.573,3.297,0.1738
120,0.573,3.292,0.1741
121,0.573,3.292,0.1741
122,0.574,3.288,0.1746
123,0.574,3.284,0.1748
124,0.574,3.28,0.175
125,0.574,3.271,0.1755
126,0.574,3.267,0.1757
127,0.574,3.263,0.1759
128,0.574,3.263,0.1759
129,0.574,3.258,0.1762
130,0.574,3.254,0.1764
131,0.574,3.25,0.1766
132,0.574,3.245,0.1769
133,0.574,3.241,0.1771
134,0.574,3.237,0.1773
135,0.574,3.233,0.1775
136,0.574,3.233,0.1775
137,0.574,3.233,0.1775
138,0.574,3.233,0.1775
139,0.574,3.228,0.1778
140,0.574,3.224,0.178
141,0.574,3.224,0.178
142,0.574,3.219,0.1783
143,0.574,3.215,0.1785
144,0.574,3.215,0.1785
145,0.574,3.215,0.1785
146,0.573,3.21,0.1785
147,0.573,3.206,0.1787
148,0.573,3.202,0.179
149,0.573,3.198,0.1792
150,0.573,3.198,0.1792
151,0.573,3.198,0.1792
152,0.573,3.193,0.1795
153,0.573,3.193,0.1795
154,0.573,3.189,0.1797
155,0.573,3.185,0.1799
156,0.573,3.18,0.1802
157,0.573,3.176,0.1804
158,0.572,3.172,0.1803
159,0.572,3.172,0.1803
160,0.572,3.167,0.1806
161,0.572,3.163,0.1808
162,0.572,3.159,0.1811
163,0.573,3.155,0.1816
164,0.573,3.155,0.1816
165,0.573,3.15,0.1819
166,0.573,3.15,0.1819
167,0.573,3.15,0.1819
168,0.573,3.15,0.1819
169,0.573,3.15,0.1819
170,0.573,3.146,0.1821
171,0.573,3.141,0.1824
172,0.573,3.137,0.1827
173,0.573,3.137,0.1827
174,0.573,3.133,0.1829
175,0.573,3.133,0.1829
176,0.573,3.133,0.1829
177,0.573,3.133,0.1829
