no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.592,6.652,0.089
2,0.592,6.652,0.089
3,0.592,6.652,0.089
4,0.592,6.652,0.089
5,0.592,6.652,0.089
6,0.592,6.652,0.089
7,0.592,6.652,0.089
8,0.592,6.652,0.089
9,0.592,6.652,0.089
10,0.592,6.588,0.0899
11,0.591,6.356,0.093
12,0.59,6.06,0.0974
13,0.59,6.06,0.0974
14,0.59,6.06,0.0974
15,0.59,6.06,0.0974
16,0.59,6.023,0.098
17,0.59,6.023,0.098
18,0.589,5.95,0.099
19,0.589,5.95,0.099
20,0.588,5.879,0.1
21,0.588,5.879,0.1
22,0.588,5.879,0.1
23,0.587,5.738,0.1023
24,0.587,5.738,0.1023
25,0.587,5.73,0.1024
26,0.587,5.73,0.1024
27,0.587,5.73,0.1024
28,0.587,5.73,0.1024
29,0.586,5.546,0.1057
30,0.586,5.546,0.1057
31,0.586,5.546,0.1057
32,0.586,5.545,0.1057
33,0.586,5.545,0.1057
34,0.586,5.545,0.1057
35,0.586,5.545,0.1057
36,0.586,5.545,0.1057
37,0.586,5.545,0.1057
38,0.586,5.545,0.1057
39,0.586,5.545,0.1057
40,0.586,5.545,0.1057
41,0.586,5.545,0.1057
42,0.586,5.545,0.1057
43,0.586,5.545,0.1057
44,0.586,5.545,0.1057
45,0.586,5.545,0.1057
46,0.586,5.545,0.1057
47,0.586,5.545,0.1057
48,0.586,5.545,0.1057
49,0.586,5.545,0.1057
50,0.586,5.545,0.1057
51,0.586,5.545,0.1057
52,0.586,5.545,0.1057
53,0.586,5.545,0.1057
54,0.586,5.545,0.1057
55,0.586,5.545,0.1057
56,0.586,5.545,0.1057
57,0.586,5.545,0.1057
58,0.586,5.545,0.1057
59,0.586,5.545,0.1057
60,0.586,5.545,0.1057
61,0.586,5.545,0.1057
62,0.586,5.545,0.1057
63,0.586,5.545,0.1057
64,0.586,5.545,0.1057
65,0.586,5.545,0.1057
66,0.586,5.545,0.1057
67,0.586,5.545,0.1057
68,0.586,5.545,0.1057
69,0.586,5.545,0.1057
70,0.586,5.545,0.1057
71,0.586,5.545,0.1057
72,0.586,5.545,0.1057
73,0.586,5.545,0.1057
74,0.586,5.545,0.1057
75,0.586,5.545,0.1057
76,0.586,5.545,0.1057
77,0.586,5.545,0.1057
78,0.586,5.545,0.1057
79,0.586,5.545,0.1057
80,0.586,5.545,0.1057
81,0.586,5.545,0.1057
82,0.586,5.545,0.1057
83,0.586,5.545,0.1057
84,0.586,5.545,0.1057
85,0.586,5.545,0.1057
86,0.586,5.545,0.1057
87,0.586,5.545,0.1057
88,0.586,5.545,0.1057
89,0.586,5.545,0.1057
90,0.585,5.499,0.1064
91,0.585,5.499,0.1064
92,0.585,5.499,0.1064
93,0.585,5.499,0.1064
94,0.585,5.499,0.1064
95,0.585,5.499,0.1064
96,0.585,5.499,0.1064
97,0.585,5.499,0.1064
98,0.585,5.499,0.1064
99,0.585,5.499,0.1064
100,0.585,5.499,0.1064
101,0.585,5.499,0.1064
102,0.585,5.499,0.1064
103,0.585,5.499,0.1064
104,0.585,5.499,0.1064
105,0.585,5.499,0.1064
106,0.585,5.499,0.1064
107,0.585,5.499,0.1064
108,0.585,5.499,0.1064
109,0.585,5.499,0.1064
110,0.585,5.499,0.1064
111,0.585,5.499,0.1064
112,0.585,5.499,0.1064
113,0.585,5.499,0.1064
114,0.585,5.499,0.1064
115,0.585,5.499,0.1064
116,0.585,5.499,0.1064
117,0.585,5.499,0.1064
118,0.585,5.499,0.1064
119,0.585,5.499,0.1064
120,0.585,5.499,0.1064
121,0.585,5.499,0.1064
122,0.585,5.499,0.1064
123,0.585,5.499,0.1064
124,0.585,5.499,0.1064
125,0.585,5.499,0.1064
126,0.585,5.499,0.1064
127,0.585,5.499,0.1064
128,0.585,5.499,0.1064
129,0.585,5.499,0.1064
130,0.585,5.499,0.1064
131,0.585,5.499,0.1064
132,0.585,5.499,0.1064
133,0.585,5.499,0.1064
134,0.585,5.499,0.1064
135,0.585,5.499,0.1064
136,0.585,5.499,0.1064
137,0.585,5.499,0.1064
138,0.585,5.499,0.1064
139,0.585,5.499,0.1064
140,0.585,5.499,0.1064
141,0.585,5.499,0.1064
142,0.585,5.499,0.1064
143,0.585,5.499,0.1064
144,0.585,5.499,0.1064
145,0.585,5.499,0.1064
146,0.585,5.499,0.1064
147,0.585,5.499,0.1064
148,0.585,5.499,0.1064
149,0.585,5.499,0.1064
150,0.585,5.499,0.1064
151,0.585,5.499,0.1064
152,0.585,5.499,0.1064
153,0.585,5.499,0.1064
154,0.585,5.499,0.1064
155,0.585,5.499,0.1064
156,0.585,5.499,0.1064
157,0.585,5.499,0.1064
158,0.585,5.499,0.1064
159,0.585,5.499,0.1064
160,0.585,5.499,0.1064
161,0.585,5.499,0.1064
162,0.585,5.499,0.1064
163,0.585,5.499,0.1064
164,0.585,5.499,0.1064
165,0.585,5.499,0.1064
166,0.585,5.499,0.1064
167,0.585,5.499,0.1064
168,0.585,5.499,0.1064
169,0.585,5.499,0.1064
170,0.585,5.499,0.1064
171,0.585,5.499,0.1064
172,0.585,5.499,0.1064
173,0.585,5.499,0.1064
174,0.585,5.499,0.1064
175,0.585,5.499,0.1064
176,0.585,5.499,0.1064
177,0.585,5.499,0.1064
178,0.585,5.499,0.1064
179,0.585,5.499,0.1064
180,0.585,5.499,0.1064
181,0.585,5.499,0.1064
182,0.585,5.499,0.1064
183,0.585,5.499,0.1064
184,0.585,5.499,0.1064
185,0.585,5.499,0.1064
186,0.585,5.499,0.1064
187,0.585,5.499,0.1064
188,0.585,5.499,0.1064
189,0.585,5.499,0.1064
190,0.585,5.499,0.1064
191,0.585,5.499,0.1064
192,0.585,5.499,0.1064
193,0.585,5.499,0.1064
194,0.585,5.499,0.1064
195,0.585,5.499,0.1064
196,0.585,5.499,0.1064
197,0.585,5.499,0.1064
198,0.585,5.499,0.1064
199,0.585,5.499,0.1064
200,0.585,5.499,0.1064
