no.    acc    apl
0    0.593    6.96
1    0.592    6.571
2    0.591    6.397
3    0.59    6.185
4    0.59    6.094
5    0.589    6.093
6    0.589    5.94
7    0.588    5.94
8    0.588    5.787
9    0.588    5.579
10    0.587    5.505
11    0.586    5.441
12    0.586    5.294
13    0.585    5.199
14    0.585    5.15
15    0.584    5.116
16    0.584    5.097
17    0.583    5.091
18    0.583    5.06
19    0.582    5.039
20    0.581    5.023
21    0.581    5.009
22    0.58    4.962
23    0.58    4.921
24    0.579    4.901
25    0.579    4.89
26    0.578    4.876
27    0.578    4.805
28    0.577    4.769
29    0.577    4.74
30    0.576    4.696
31    0.576    4.634
32    0.576    4.598
33    0.576    4.598
34    0.575    4.542
35    0.575    4.525
36    0.574    4.514
37    0.573    4.494
38    0.573    4.487
39    0.572    4.474
40    0.572    4.454
41    0.572    4.454
42    0.571    4.452
43    0.571    4.439
44    0.57    4.426
45    0.57    4.396
46    0.57    4.378
47    0.569    4.357
48    0.569    4.348
49    0.568    4.327
50    0.568    4.3
51    0.567    4.284
52    0.566    4.276
53    0.565    4.264
54    0.565    4.255
55    0.564    4.243
56    0.564    4.224
57    0.563    4.222
58    0.563    4.206
59    0.563    4.18
60    0.562    4.171
61    0.561    4.162
62    0.561    4.155
63    0.56    4.139
64    0.559    4.126
65    0.559    4.117
66    0.558    4.1
67    0.558    4.095
68    0.557    4.092
69    0.557    4.084
70    0.556    4.077
71    0.556    4.072
72    0.555    4.067
73    0.555    4.057
74    0.554    4.056
75    0.554    4.047
76    0.554    4.041
77    0.553    4.028
78    0.552    4.025
79    0.552    4.006
80    0.551    4.001
81    0.551    3.993
82    0.55    3.99
83    0.55    3.979
84    0.55    3.972
85    0.549    3.967
86    0.549    3.957
87    0.548    3.952
88    0.548    3.952
89    0.548    3.946
90    0.547    3.938
91    0.547    3.936
92    0.546    3.93
93    0.546    3.922
94    0.545    3.913
95    0.545    3.906
96    0.545    3.906
97    0.544    3.903
98    0.544    3.903
99    0.544    3.896
100    0.543    3.893
101    0.543    3.888
102    0.542    3.885
103    0.541    3.881
104    0.541    3.871
105    0.54    3.858
106    0.54    3.841
107    0.54    3.834
108    0.538    3.832
109    0.538    3.82
110    0.537    3.815
111    0.537    3.809
112    0.537    3.805
113    0.536    3.801
114    0.535    3.794
115    0.535    3.788
116    0.534    3.782
117    0.534    3.778
118    0.534    3.774
119    0.533    3.769
120    0.532    3.767
121    0.532    3.756
122    0.532    3.755
123    0.531    3.747
124    0.531    3.745
125    0.531    3.74
126    0.53    3.735
127    0.53    3.73
128    0.529    3.725
129    0.528    3.721
130    0.528    3.717
131    0.528    3.716
132    0.527    3.712
133    0.527    3.709
134    0.527    3.708
135    0.526    3.706
136    0.526    3.701
137    0.525    3.695
138    0.525    3.688
139    0.525    3.686
140    0.524    3.685
141    0.524    3.683
142    0.524    3.683
143    0.524    3.683
144    0.523    3.678
145    0.523    3.673
146    0.522    3.672
147    0.522    3.668
148    0.522    3.663
149    0.521    3.66
150    0.52    3.652
151    0.52    3.652
152    0.52    3.652
153    0.52    3.646
154    0.52    3.639
155    0.52    3.636
156    0.519    3.631
157    0.519    3.628
158    0.518    3.625
159    0.518    3.619
160    0.518    3.618
161    0.517    3.616
162    0.517    3.612
163    0.517    3.604
164    0.516    3.602
165    0.516    3.599
166    0.515    3.596
167    0.515    3.595
168    0.514    3.588
169    0.514    3.584
170    0.513    3.58
171    0.512    3.578
172    0.512    3.574
173    0.512    3.568
174    0.511    3.567
175    0.511    3.564
176    0.51    3.56
177    0.51    3.557
178    0.51    3.55
179    0.509    3.546
180    0.509    3.543
181    0.509    3.541
182    0.508    3.533
183    0.508    3.524
184    0.507    3.522
185    0.507    3.517
186    0.507    3.516
187    0.507    3.515
188    0.506    3.513
189    0.506    3.505
190    0.506    3.498
191    0.505    3.496
192    0.505    3.491
193    0.504    3.488
194    0.504    3.484
195    0.504    3.48
196    0.503    3.477
197    0.503    3.475
198    0.503    3.47
199    0.502    3.467
200    0.502    3.465
