no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.592,6.808,0.087
2,0.591,6.573,0.0899
3,0.591,6.515,0.0907
4,0.59,6.487,0.091
5,0.59,6.059,0.0974
6,0.59,6.046,0.0976
7,0.589,5.737,0.1027
8,0.589,5.703,0.1033
9,0.589,5.642,0.1044
10,0.588,5.427,0.1083
11,0.588,5.202,0.113
12,0.588,5.141,0.1144
13,0.588,5.11,0.1151
14,0.587,4.918,0.1194
15,0.587,4.918,0.1194
16,0.587,4.806,0.1221
17,0.586,4.755,0.1232
18,0.586,4.658,0.1258
19,0.586,4.618,0.1269
20,0.586,4.598,0.1274
21,0.586,4.556,0.1286
22,0.585,4.515,0.1296
23,0.585,4.481,0.1306
24,0.585,4.423,0.1323
25,0.584,4.39,0.133
26,0.584,4.375,0.1335
27,0.584,4.334,0.1347
28,0.584,4.295,0.136
29,0.584,4.281,0.1364
30,0.584,4.268,0.1368
31,0.583,4.228,0.1379
32,0.583,4.213,0.1384
33,0.583,4.205,0.1386
34,0.583,4.201,0.1388
35,0.583,4.101,0.1422
36,0.583,4.097,0.1423
37,0.582,4.073,0.1429
38,0.582,4.04,0.1441
39,0.582,4.028,0.1445
40,0.582,4.013,0.145
41,0.582,4.009,0.1452
42,0.582,4.005,0.1453
43,0.581,3.986,0.1458
44,0.581,3.982,0.1459
45,0.581,3.974,0.1462
46,0.581,3.958,0.1468
47,0.581,3.929,0.1479
48,0.581,3.925,0.148
49,0.581,3.921,0.1482
50,0.581,3.921,0.1482
51,0.581,3.921,0.1482
52,0.581,3.882,0.1497
53,0.58,3.878,0.1496
54,0.58,3.878,0.1496
55,0.58,3.878,0.1496
56,0.58,3.844,0.1509
57,0.58,3.836,0.1512
58,0.58,3.832,0.1514
59,0.58,3.828,0.1515
60,0.58,3.811,0.1522
61,0.58,3.807,0.1524
62,0.58,3.803,0.1525
63,0.58,3.799,0.1527
64,0.579,3.751,0.1544
65,0.578,3.734,0.1548
66,0.578,3.717,0.1555
67,0.578,3.713,0.1557
68,0.578,3.708,0.1559
69,0.578,3.708,0.1559
70,0.578,3.708,0.1559
71,0.578,3.688,0.1567
72,0.577,3.661,0.1576
73,0.577,3.653,0.158
74,0.577,3.635,0.1587
75,0.577,3.635,0.1587
76,0.577,3.63,0.159
77,0.576,3.623,0.159
78,0.576,3.623,0.159
79,0.577,3.619,0.1594
80,0.576,3.611,0.1595
81,0.576,3.607,0.1597
82,0.576,3.596,0.1602
83,0.576,3.592,0.1604
84,0.576,3.588,0.1605
85,0.576,3.588,0.1605
86,0.576,3.584,0.1607
87,0.576,3.579,0.1609
88,0.576,3.565,0.1616
89,0.576,3.526,0.1634
90,0.575,3.498,0.1644
91,0.575,3.494,0.1646
92,0.575,3.494,0.1646
93,0.575,3.49,0.1648
94,0.575,3.485,0.165
95,0.575,3.481,0.1652
96,0.575,3.477,0.1654
97,0.575,3.473,0.1656
98,0.575,3.473,0.1656
99,0.575,3.469,0.1658
100,0.575,3.469,0.1658
101,0.575,3.464,0.166
102,0.575,3.459,0.1662
103,0.575,3.455,0.1664
104,0.575,3.455,0.1664
105,0.575,3.451,0.1666
106,0.575,3.451,0.1666
107,0.575,3.438,0.1672
108,0.575,3.434,0.1674
109,0.575,3.434,0.1674
110,0.575,3.43,0.1676
111,0.575,3.422,0.168
112,0.575,3.418,0.1682
113,0.575,3.418,0.1682
114,0.575,3.413,0.1685
115,0.575,3.413,0.1685
116,0.575,3.413,0.1685
117,0.575,3.413,0.1685
118,0.575,3.409,0.1687
119,0.575,3.409,0.1687
120,0.575,3.379,0.1702
121,0.575,3.375,0.1704
122,0.575,3.375,0.1704
123,0.575,3.371,0.1706
124,0.575,3.366,0.1708
125,0.575,3.362,0.171
126,0.575,3.358,0.1712
127,0.575,3.358,0.1712
128,0.575,3.358,0.1712
129,0.575,3.358,0.1712
130,0.575,3.358,0.1712
131,0.575,3.358,0.1712
132,0.575,3.353,0.1715
133,0.575,3.353,0.1715
134,0.575,3.349,0.1717
135,0.575,3.341,0.1721
136,0.574,3.333,0.1722
137,0.575,3.329,0.1727
138,0.575,3.329,0.1727
139,0.574,3.307,0.1736
140,0.574,3.288,0.1746
141,0.574,3.284,0.1748
142,0.574,3.28,0.175
143,0.574,3.275,0.1753
144,0.574,3.264,0.1759
145,0.574,3.251,0.1766
146,0.574,3.242,0.1771
147,0.574,3.238,0.1773
148,0.574,3.238,0.1773
149,0.574,3.234,0.1775
150,0.574,3.234,0.1775
151,0.574,3.234,0.1775
152,0.574,3.234,0.1775
153,0.574,3.225,0.178
154,0.573,3.221,0.1779
155,0.573,3.216,0.1782
156,0.573,3.216,0.1782
157,0.573,3.212,0.1784
158,0.573,3.212,0.1784
159,0.573,3.212,0.1784
160,0.574,3.207,0.179
161,0.574,3.207,0.179
162,0.574,3.203,0.1792
163,0.574,3.199,0.1794
164,0.574,3.195,0.1797
165,0.574,3.19,0.1799
166,0.574,3.19,0.1799
167,0.574,3.186,0.1802
168,0.574,3.178,0.1806
169,0.574,3.173,0.1809
170,0.574,3.173,0.1809
171,0.574,3.162,0.1815
172,0.574,3.158,0.1818
173,0.574,3.158,0.1818
174,0.574,3.153,0.182
175,0.574,3.149,0.1823
176,0.574,3.149,0.1823
177,0.574,3.149,0.1823
178,0.574,3.144,0.1826
179,0.575,3.14,0.1831
180,0.574,3.136,0.183
181,0.575,3.132,0.1836
182,0.575,3.132,0.1836
183,0.575,3.132,0.1836
184,0.575,3.132,0.1836
185,0.575,3.127,0.1839
186,0.575,3.119,0.1844
187,0.575,3.11,0.1849
188,0.575,3.106,0.1851
189,0.575,3.101,0.1854
190,0.575,3.101,0.1854
191,0.575,3.101,0.1854
192,0.575,3.097,0.1857
193,0.575,3.097,0.1857
194,0.575,3.097,0.1857
195,0.575,3.093,0.1859
196,0.575,3.088,0.1862
197,0.576,3.084,0.1868
198,0.576,3.084,0.1868
199,0.576,3.08,0.187
