no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.592,6.71,0.0882
2,0.591,6.548,0.0903
3,0.59,6.227,0.0947
4,0.59,6.138,0.0961
5,0.59,5.863,0.1006
6,0.589,5.787,0.1018
7,0.589,5.642,0.1044
8,0.588,5.574,0.1055
9,0.588,5.344,0.11
10,0.588,5.344,0.11
11,0.588,5.257,0.1119
12,0.588,5.216,0.1127
13,0.588,5.148,0.1142
14,0.587,5.142,0.1142
15,0.587,5.015,0.117
16,0.587,5.015,0.117
17,0.587,4.965,0.1182
18,0.587,4.958,0.1184
19,0.587,4.958,0.1184
20,0.586,4.899,0.1196
21,0.586,4.854,0.1207
22,0.586,4.836,0.1212
23,0.585,4.636,0.1262
24,0.585,4.584,0.1276
25,0.585,4.567,0.1281
26,0.585,4.471,0.1308
27,0.585,4.451,0.1314
28,0.584,4.442,0.1315
29,0.584,4.375,0.1335
30,0.584,4.347,0.1343
31,0.584,4.347,0.1343
32,0.584,4.3,0.1358
33,0.583,4.278,0.1363
34,0.583,4.108,0.1419
35,0.583,4.088,0.1426
36,0.583,4.08,0.1429
37,0.583,4.064,0.1435
38,0.583,4.033,0.1446
39,0.582,4.028,0.1445
40,0.582,4.021,0.1447
41,0.582,4.017,0.1449
42,0.582,4.007,0.1452
43,0.582,4.003,0.1454
44,0.582,4.003,0.1454
45,0.582,3.991,0.1458
46,0.582,3.921,0.1484
47,0.581,3.887,0.1495
48,0.581,3.875,0.1499
49,0.581,3.875,0.1499
50,0.581,3.856,0.1507
51,0.581,3.852,0.1508
52,0.581,3.826,0.1519
53,0.581,3.826,0.1519
54,0.581,3.818,0.1522
55,0.581,3.815,0.1523
56,0.581,3.81,0.1525
57,0.581,3.802,0.1528
58,0.58,3.782,0.1534
59,0.58,3.766,0.154
60,0.58,3.762,0.1542
61,0.58,3.746,0.1548
62,0.58,3.746,0.1548
63,0.58,3.746,0.1548
64,0.58,3.734,0.1553
65,0.58,3.699,0.1568
66,0.58,3.696,0.1569
67,0.579,3.656,0.1584
68,0.579,3.652,0.1585
69,0.579,3.652,0.1585
70,0.579,3.648,0.1587
71,0.579,3.643,0.1589
72,0.579,3.639,0.1591
73,0.579,3.635,0.1593
74,0.579,3.63,0.1595
75,0.579,3.626,0.1597
76,0.579,3.622,0.1599
77,0.579,3.564,0.1625
78,0.579,3.56,0.1626
79,0.579,3.556,0.1628
80,0.578,3.548,0.1629
81,0.578,3.548,0.1629
82,0.578,3.544,0.1631
83,0.579,3.54,0.1636
84,0.578,3.536,0.1635
85,0.579,3.532,0.1639
86,0.578,3.52,0.1642
87,0.578,3.516,0.1644
88,0.578,3.511,0.1646
89,0.578,3.507,0.1648
90,0.578,3.503,0.165
91,0.577,3.498,0.165
92,0.577,3.494,0.1651
93,0.577,3.49,0.1653
94,0.577,3.469,0.1663
95,0.577,3.469,0.1663
96,0.576,3.452,0.1669
97,0.576,3.439,0.1675
98,0.576,3.435,0.1677
99,0.576,3.435,0.1677
100,0.576,3.43,0.1679
101,0.576,3.426,0.1681
102,0.576,3.409,0.169
103,0.576,3.409,0.169
104,0.576,3.405,0.1692
105,0.576,3.397,0.1696
106,0.576,3.393,0.1698
107,0.576,3.389,0.17
108,0.576,3.381,0.1704
109,0.576,3.377,0.1706
110,0.576,3.372,0.1708
111,0.576,3.36,0.1714
112,0.576,3.355,0.1717
113,0.576,3.355,0.1717
114,0.576,3.351,0.1719
115,0.576,3.351,0.1719
116,0.576,3.338,0.1726
117,0.576,3.334,0.1728
118,0.576,3.33,0.173
119,0.576,3.326,0.1732
120,0.576,3.321,0.1734
121,0.576,3.321,0.1734
122,0.576,3.317,0.1737
123,0.576,3.317,0.1737
124,0.576,3.313,0.1739
125,0.576,3.309,0.1741
126,0.576,3.309,0.1741
127,0.576,3.305,0.1743
128,0.576,3.305,0.1743
129,0.576,3.305,0.1743
130,0.576,3.3,0.1745
