no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.592,6.791,0.0872
2,0.592,6.619,0.0894
3,0.592,6.384,0.0927
4,0.591,6.263,0.0944
5,0.591,6.251,0.0945
6,0.59,6.098,0.0968
7,0.59,5.999,0.0983
8,0.589,5.949,0.099
9,0.589,5.907,0.0997
10,0.588,5.765,0.102
11,0.588,5.648,0.1041
12,0.588,5.604,0.1049
13,0.587,5.59,0.105
14,0.587,5.538,0.106
15,0.586,5.404,0.1084
16,0.586,5.333,0.1099
17,0.585,5.33,0.1098
18,0.585,5.289,0.1106
19,0.584,5.25,0.1112
20,0.584,5.207,0.1122
21,0.583,5.189,0.1124
22,0.583,5.176,0.1126
23,0.582,5.163,0.1127
24,0.582,5.14,0.1132
25,0.581,5.124,0.1134
26,0.581,5.102,0.1139
27,0.58,5.084,0.1141
28,0.58,5.052,0.1148
29,0.579,5.025,0.1152
30,0.579,5.004,0.1157
31,0.578,4.979,0.1161
32,0.578,4.959,0.1166
33,0.577,4.951,0.1165
34,0.577,4.945,0.1167
35,0.576,4.942,0.1166
36,0.576,4.926,0.1169
37,0.575,4.908,0.1172
38,0.575,4.904,0.1173
39,0.574,4.892,0.1173
40,0.574,4.816,0.1192
41,0.573,4.811,0.1191
42,0.573,4.801,0.1194
43,0.572,4.776,0.1198
44,0.572,4.737,0.1208
45,0.571,4.731,0.1207
46,0.571,4.662,0.1225
47,0.571,4.659,0.1226
48,0.57,4.625,0.1232
49,0.57,4.613,0.1236
50,0.569,4.609,0.1235
51,0.569,4.606,0.1235
52,0.568,4.605,0.1233
53,0.568,4.6,0.1235
54,0.567,4.579,0.1238
55,0.567,4.575,0.1239
56,0.566,4.546,0.1245
57,0.565,4.53,0.1247
58,0.565,4.507,0.1254
59,0.564,4.493,0.1255
60,0.564,4.481,0.1259
61,0.563,4.468,0.126
62,0.562,4.463,0.1259
63,0.562,4.437,0.1267
64,0.561,4.432,0.1266
65,0.561,4.382,0.128
66,0.561,4.369,0.1284
67,0.56,4.364,0.1283
68,0.559,4.353,0.1284
69,0.559,4.298,0.1301
70,0.558,4.287,0.1302
71,0.558,4.281,0.1303
72,0.558,4.277,0.1305
73,0.557,4.268,0.1305
74,0.557,4.257,0.1308
75,0.557,4.238,0.1314
76,0.556,4.226,0.1316
77,0.556,4.197,0.1325
78,0.555,4.195,0.1323
79,0.554,4.191,0.1322
80,0.554,4.187,0.1323
81,0.554,4.183,0.1324
82,0.553,4.179,0.1323
83,0.553,4.176,0.1324
84,0.552,4.172,0.1323
85,0.552,4.151,0.133
