no.,acc,apl,small_worldness
0,0.593,6.96,0.0852
1,0.593,6.478,0.0915
2,0.592,6.441,0.0919
3,0.591,6.419,0.0921
4,0.59,6.169,0.0956
5,0.59,6.031,0.0978
6,0.589,5.959,0.0988
7,0.589,5.724,0.1029
8,0.588,5.662,0.1039
9,0.587,5.597,0.1049
10,0.587,5.494,0.1068
11,0.587,5.483,0.1071
12,0.586,5.362,0.1093
13,0.585,5.328,0.1098
14,0.585,5.263,0.1112
15,0.585,5.241,0.1116
16,0.584,5.23,0.1117
17,0.584,5.199,0.1123
18,0.583,5.176,0.1126
19,0.583,5.145,0.1133
20,0.582,5.134,0.1134
21,0.581,5.09,0.1141
22,0.581,5.018,0.1158
23,0.581,4.947,0.1174
24,0.58,4.927,0.1177
25,0.58,4.909,0.1182
26,0.579,4.84,0.1196
27,0.579,4.828,0.1199
28,0.578,4.785,0.1208
29,0.578,4.773,0.1211
30,0.577,4.76,0.1212
31,0.577,4.709,0.1225
32,0.577,4.67,0.1236
33,0.576,4.647,0.124
34,0.576,4.588,0.1255
35,0.575,4.563,0.126
36,0.575,4.496,0.1279
37,0.574,4.479,0.1282
38,0.574,4.464,0.1286
39,0.573,4.452,0.1287
40,0.573,4.449,0.1288
41,0.572,4.446,0.1287
42,0.572,4.425,0.1293
43,0.571,4.419,0.1292
44,0.571,4.388,0.1301
45,0.571,4.366,0.1308
46,0.57,4.345,0.1312
47,0.57,4.337,0.1314
48,0.57,4.299,0.1326
49,0.569,4.267,0.1333
50,0.568,4.265,0.1332
51,0.568,4.26,0.1333
52,0.567,4.257,0.1332
53,0.566,4.248,0.1332
54,0.566,4.239,0.1335
55,0.565,4.231,0.1335
56,0.565,4.201,0.1345
57,0.564,4.19,0.1346
58,0.564,4.181,0.1349
59,0.564,4.18,0.1349
60,0.563,4.172,0.1349
61,0.563,4.162,0.1353
62,0.562,4.143,0.1357
63,0.562,4.14,0.1357
64,0.561,4.135,0.1357
65,0.56,4.126,0.1357
66,0.56,4.123,0.1358
67,0.559,4.12,0.1357
68,0.559,4.101,0.1363
69,0.559,4.091,0.1366
70,0.558,4.086,0.1366
71,0.557,4.08,0.1365
72,0.556,4.073,0.1365
73,0.556,4.065,0.1368
74,0.555,4.06,0.1367
75,0.555,4.051,0.137
76,0.554,4.044,0.137
77,0.554,4.039,0.1372
78,0.554,4.031,0.1374
